site_ID,COUNT,AREA,MEAN
279_605,17241.000000000000000,15516899.999999988824129,1166.496015754806649
356_617,17612.000000000000000,15850799.999999988824129,1121.769314186535667
462_301,17939.000000000000000,16145099.999999986961484,1475.918402246253891
406_639,13485.000000000000000,12136499.999999990686774,920.054093273419767
167_181,15282.000000000000000,13753799.999999988824129,1077.180189145919940
606_111,17015.000000000000000,15313499.999999988824129,1234.018658070616311
311_440,17326.000000000000000,15593399.999999988824129,1512.371233420849649
138_564,16456.000000000000000,14810399.999999988824129,1131.226121575142088
363_464,12876.000000000000000,11588399.999999990686774,1428.345591202327341
407_479,16121.000000000000000,14508899.999999988824129,1173.974180878558400
135_169,16216.000000000000000,14594399.999999988824129,1284.270848642619512
505_333,16748.000000000000000,15073199.999999988824129,1418.725604396004655
314_65,17420.000000000000000,15677999.999999988824129,754.681148076193608
170_182,16687.000000000000000,15018299.999999988824129,1137.069427401534540
561_336,15985.000000000000000,14386499.999999988824129,1064.386476623514909
465_496,14665.000000000000000,13198499.999999990686774,999.645902535992377
107_404,15278.000000000000000,13750199.999999988824129,2309.687103889711125
552_350,17726.000000000000000,15953399.999999988824129,1377.529963628388714
405_278,17107.000000000000000,15396299.999999988824129,738.170815239770718
109_1,14847.000000000000000,13362299.999999990686774,1635.558250933406725
408_91,16613.000000000000000,14951699.999999988824129,1367.922163959930231
316_70,16701.000000000000000,15030899.999999988824129,1288.535239958175680
313_608,17498.000000000000000,15748199.999999988824129,1361.456638357544989
141_172,14977.000000000000000,13479299.999999990686774,921.054311791671694
406_634,13404.000000000000000,12063599.999999990686774,887.033870944618457
453_505,18115.000000000000000,16303499.999999986961484,768.957841681223044
559_352,12639.000000000000000,11375099.999999990686774,1107.783954037544163
87_394,13426.000000000000000,12083399.999999990686774,1243.452813190413053
450_647,14077.000000000000000,12669299.999999990686774,1543.128470291643225
360_78,16153.000000000000000,14537699.999999988824129,1030.600529139059518
606_355,16753.000000000000000,15077699.999999988824129,1050.632463135392072
352_262,16804.000000000000000,15123599.999999988824129,1232.244601654456346
